SubjectID,Sex,Age,Genotype,Latency,Amplitude,Wave,Trough,P2P,,,
A04,M,A,WT,2.23,767.8,I,-248.9518,1016.7518,,,
A04,M,A,WT,3.21,425.77,II,-598.523,1024.293,,,
A04,M,A,WT,3.97,800.16,III,-461.83,1261.99,,,
A04,M,A,WT,4.81,199.76,IV,-494.97,694.73,,,
A07,M,A,WT,2.22,587.25,I,-111.46,698.71,,,
A07,M,A,WT,3.24,347.41,II,-600.64,948.05,,,
A07,M,A,WT,3.97,1073.5,III,-585.58,1659.08,,,
A07,M,A,WT,4.82,295.88,IV,-671.99,967.87,,,
A34,M,A,KO,2.31,851.43,I,-250.76,1102.19,,,
A34,M,A,KO,3.36,553.2,II,-617.16,1170.36,,,
A34,M,A,KO,4.09,952.56,III,-624.31,1576.87,,,
A34,M,A,KO,4.98,384.17,IV,-718.61,1102.78,,,
A35,M,A,KO,2.24,723.37,I,-180.85,904.22,,,
A35,M,A,KO,3.23,298.51,II,-600.99,899.5,,,
A35,M,A,KO,3.89,886.83,III,-499.54,1386.37,,,
A35,M,A,KO,4.73,176.66,IV,-616.97,793.63,,,
A39,F,A,KO,2.48,359.1,I,-146.15,505.25,,,
A39,F,A,KO,3.46,432.76,II,-410.68,843.44,,,
A39,F,A,KO,4.39,561.59,III,-479.52,1041.11,,,
A39,F,A,KO,5.21,308.82,IV,-538.92,847.74,,,
A60,F,A,KO,2.32,844.43,I,-371.45,1215.88,,,
A60,F,A,KO,3.34,128.61,II,-537.19,665.8,,,
A60,F,A,KO,4.04,1847.9,III,-831.45,2679.35,,,
A60,F,A,KO,4.84,390.11,IV,-1164.099918,1554.209918,,,
D63,F,J,KO,2.53,281.52,I,-107.4524647,388.9724647,,,
D63,F,J,KO,3.21,201.68,II,-196.6200704,398.3000704,,,
D63,F,J,KO,3.87,518.92,III,-304.3649617,823.2849617,,,
D63,F,J,KO,4.76,244.45,IV,-412.3993164,656.8493164,,,
D64,M,J,WT,2.31,450.39,I,-173.9970032,624.3870032,,,
D64,M,J,WT,3.42,158.24,II,-276.7645328,435.0045328,,,
D64,M,J,WT,4.24,630,III,-378.0013682,1008.001368,,,
D64,M,J,WT,5.24,311,IV,-500.2460546,811.2460546,,,
D68,F,J,WT,2.41,627.11,I,-214.441859,841.551859,,,
D68,F,J,WT,3.26,222.02,II,-497.9778406,719.9978406,,,
D68,F,J,WT,4.39,737.92,III,-526.3282193,1264.248219,,,
D68,F,J,WT,5.29,299.32,IV,-444.1569782,743.4769782,,,
E35,M,J,KO,2.34,555.77,I,-170.284317,726.054317,,,
E35,M,J,KO,3.41,340.61,II,-530.8514317,871.4614317,,,
E35,M,J,KO,4.22,1706.9,III,-949.6350123,2656.535012,,,
E35,M,J,KO,5.22,278.59,IV,-1059.597935,1338.187935,,,
E72,M,J,WT,2.22,942.9,I,-105.2852044,1048.185204,,,
E72,M,J,WT,3.23,682.93,II,-980.3187104,1663.24871,,,
E72,M,J,WT,4.03,371.34,III,-343.7156116,715.0556116,,,
E72,M,J,WT,4.85,289.81,IV,-450.9930454,740.8030454,,,
E74,F,J,WT,2.36,533.35,I,-106.1935724,639.5435724,,,
E74,F,J,WT,3.52,477.39,II,-505.3734524,982.7634524,,,
E74,F,J,WT,4.35,483.41,III,-472.8724998,956.2824998,,,
E74,F,J,WT,5.28,284.33,IV,-342.123133,626.453133,,,
F29,M,J,WT,2.43,223.87,I,-138.8839625,362.7539625,,,
F29,M,J,WT,4.38,706.34,III,-334.7907408,1041.130741,,,
F29,M,J,WT,5.38,174.52,IV,-515.62916,690.14916,,,
F30,M,J,WT,2.28,622.47,I,-202.3597989,824.8297989,,,
F30,M,J,WT,3.28,237.22,II,-500.7349667,737.9549667,,,
F30,M,J,WT,3.99,649,III,-386.3560284,1035.356028,,,
F30,M,J,WT,5.19,312.09,IV,-491.558032,803.648032,,,
F34,F,J,WT,2.22,1746.6,I,-354.1509475,2100.750948,,,
F34,F,J,WT,3.2,564.99,II,-1205.22008,1770.21008,,,
F34,F,J,WT,3.95,1258,III,-898.7671655,2156.767166,,,
F34,F,J,WT,4.77,358.52,IV,-450.2066061,808.7266061,,,
F36,M,J,KO,2.44,633.98,I,-166.4672814,800.4472814,,,
F36,M,J,KO,3.59,135.91,II,-200.161141,336.071141,,,
F36,M,J,KO,4.43,955.78,III,-661.6444589,1617.424459,,,
F36,M,J,KO,5.51,214.02,IV,-355.1157861,569.1357861,,,
F39,F,J,KO,2.35,788.95,I,-228.0568921,1017.006892,,,
F39,F,J,KO,3.4,284.58,II,-586.6901956,871.2701956,,,
F39,F,J,KO,4.23,1161.9,III,-663.7052867,1825.605287,,,
F39,F,J,KO,5.2,185.51,IV,-599.0820889,784.5920889,,,
I38,F,J,KO,2.63,1043.1,I,-272.1383474,1315.238347,,,
I38,F,J,KO,4.06,1333.1,III,-964.3634877,2297.463488,,,
I38,F,J,KO,4.9,155.56,IV,-651.4726193,807.0326193,,,
I67,F,J,KO,2.48,532.51,I,-176.4813248,708.9913248,,,
I67,F,J,KO,4.1,938.47,III,-585.7029511,1524.172951,,,
I67,F,J,KO,4.98,312.46,IV,-607.1681008,919.6281008,,,
J36,F,J,KO,2.61,695.56,I,-256.2511835,951.8111835,,,
J36,F,J,KO,4.28,1125.3,III,-621.4705475,1746.770548,,,
J36,F,J,KO,5.22,341.22,IV,-531.0208101,872.2408101,,,
V37,M,A,KO,2.34,466,I,-156.7854256,622.7854256,,,
V37,M,A,KO,3.08,170.02,II,-292.4754715,462.4954715,,,
V37,M,A,KO,4.12,435.16,III,-308.3083268,743.4683268,,,
V37,M,A,KO,5.05,214.26,IV,-281.8911317,496.1511317,,,
V39,M,A,KO,2.77,194.39,I,-122.5367789,316.9267789,,,
V39,M,A,KO,4.27,450,II,-328.9727282,778.9727282,,,
V39,M,A,KO,4.95,162.57,III,-242.8220878,405.3920878,,,
V39,M,A,KO,5.99,153.47,IV,-213.8653696,367.3353696,,,
Z70,M,A,KO,2.35,727.1,I,-145.318107,872.418107,,,
Z70,M,A,KO,3.41,240.75,II,-553.9916054,794.7416054,,,
Z70,M,A,KO,4.12,762.1,III,-333.5398278,1095.639828,,,
Z70,M,A,KO,5.04,161.28,IV,-453.0994046,614.3794046,,,
Z73,M,A,KO,2.2,485.77,I,-119.078727,604.848727,,,
Z73,M,A,KO,3.26,179.85,II,-457.6462226,637.4962226,,,
Z73,M,A,KO,3.9,890.28,III,-295.5494668,1185.829467,,,
Z73,M,A,KO,5.14,188.03,IV,-697.6167101,885.6467101,,,
Z78,F,A,KO,2.23,833.56,I,-184.5257752,1018.085775,,,
Z78,F,A,KO,3.2,625.07,II,-749.2251284,1374.295128,,,
Z78,F,A,KO,3.9,872.98,III,-515.5520094,1388.532009,,,
Z78,F,A,KO,4.73,343.38,IV,-934.7769574,1278.156957,,,
A06,M,A,WT,2.29,433.43,I,-237.082503,670.512503,,,
A06,M,A,WT,3.34,26.501,II,-340.988484,367.489484,,,
A06,M,A,WT,4.06,757.41,III,-566.3534826,1323.763483,,,
A06,M,A,WT,4.97,101.34,IV,-351.3334176,452.6734176,,,
Z40,M,A,WT,2.37,1042.6,I,-272.0578666,1314.657867,,,
Z40,M,A,WT,3.49,863.21,II,-926.1151381,1789.325138,,,
Z40,M,A,WT,4.32,813.5,III,-653.5849391,1467.084939,,,
Z40,M,A,WT,5.36,378.49,IV,-802.8166614,1181.306661,,,
Z42,M,A,WT,2.22,826.92,I,-155.5320645,982.4520645,,,
Z42,M,A,WT,3.23,377.95,II,-844.7011777,1222.651178,,,
Z42,M,A,WT,3.99,670.18,III,-405.358866,1075.538866,,,
Z42,M,A,WT,4.78,191.28,IV,-378.987628,570.267628,,,
Z60,F,A,WT,2.3,1179.7,I,-278.1158729,1457.815873,,,
Z60,F,A,WT,3.33,238.4,II,-758.289987,996.689987,,,
Z60,F,A,WT,4.06,946.25,III,-354.8262208,1301.076221,,,
Z60,F,A,WT,4.82,186.72,IV,-532.7268234,719.4468234,,,
Z63,F,A,WT,2.3,1023.5,I,-188.2386807,1211.738681,,,
Z63,F,A,WT,3.06,116.22,II,-741.2572589,857.4772589,,,
Z63,F,A,WT,4.07,963.6,III,-396.1628444,1359.762844,,,
Z63,F,A,WT,5,329.01,IV,-770.9083463,1099.918346,,,
Z74,F,A,WT,2.33,752.78,I,-167.1665301,919.9465301,,,
Z74,F,A,WT,3.44,452.4,II,-658.0741131,1110.474113,,,
Z74,F,A,WT,4.17,1865.1,III,-863.885082,2728.985082,,,
Z74,F,A,WT,5.44,211.254,IV,-1278.475523,1489.729523,,,
L57,F,A,KO,2.42,1012.2,I,-125.0388652,1137.238865,,,
L57,F,A,KO,3.52,801.77,II,-1069.031458,1870.801458,,,
L57,F,A,KO,4.36,411.93,III,-555.3892717,967.3192717,,,
L57,F,A,KO,5.19,262.05,IV,-180.342162,442.392162,,,
M36,M,J,KO,2.32,830.33,I,-300.4575971,1130.787597,,,
M36,M,J,KO,3.34,22.314,II,-499.2538168,521.5678168,,,
M36,M,J,KO,4.15,1200.8,III,-777.5677239,1978.367724,,,
M36,M,J,KO,5.21,244.16,IV,-652.7968048,896.9568048,,,
M37,F,J,KO,2.56,327.56,I,-137.6614028,465.2214028,,,
M37,F,J,KO,3.3,287.07,II,-274.1327803,561.2027803,,,
M37,F,J,KO,4.14,608.27,III,-479.6296064,1087.899606,,,
M37,F,J,KO,5.07,214.78,IV,-343.7420431,558.5220431,,,
M38,M,J,KO,2.51,333.17,I,-130.2300562,463.4000562,,,
M38,M,J,KO,3.49,33.416,II,-190.9897836,224.4057836,,,
M38,M,J,KO,4.31,447.6,III,-316.4109499,764.0109499,,,
M38,M,J,KO,5.15,93.394,IV,-291.5898824,384.9838824,,,
M40,M,J,KO,2.35,848.28,I,-342.2503849,1190.530385,,,
M40,M,J,KO,3.37,231.85,II,-740.5303968,972.3803968,,,
M40,M,J,KO,4.14,1509.7,III,-826.4560666,2336.156067,,,
M40,M,J,KO,5.52,237.27,IV,-995.7370842,1233.007084,,,
M42,F,J,KO,2.48,583.72,I,-255.486463,839.206463,,,
M42,F,J,KO,3.16,99.096,II,-356.622572,455.718572,,,
M42,F,J,KO,4.09,596.46,III,-574.9534464,1171.413446,,,
M42,F,J,KO,5,87.403,IV,-137.3228281,224.7258281,,,
M47,M,J,KO,2.68,325.11,I,-162.8096177,487.9196177,,,
M47,M,J,KO,4.29,541.61,III,-361.1679268,902.7779268,,,
M47,M,J,KO,5.13,76.757,IV,-327.5777023,404.3347023,,,
O89,F,J,KO,2.28,1144,I,-227.3871758,1371.387176,,,
O89,F,J,KO,3.27,334.68,II,-852.3762586,1187.056259,,,
O89,F,J,KO,4.03,1371.5,III,-822.6718648,2194.171865,,,
O89,F,J,KO,4.82,351.84,IV,-596.9342155,948.7742155,,,
R35,F,J,KO,2.4,1050.5,I,-312.5008275,1363.000828,,,
R35,F,J,KO,3.54,469.09,II,-848.2844085,1317.374409,,,
R35,F,J,KO,4.5,1300,III,-902.3112675,2202.311268,,,
R35,F,J,KO,5.57,396.16,IV,-686.2909915,1082.450992,,,
L19,M,A,WT,2.17,1226.8,I,-246.651,1473.451,,,
L19,M,A,WT,3.18,196.14,II,-775.417148,971.557148,,,
L19,M,A,WT,3.91,833.29,III,-576.685839,1409.975839,,,
L19,M,A,WT,4.66,156.9,IV,-543.6612892,700.5612892,,,
L31,M,A,WT,2.26,988.19,I,-267.4389003,1255.6289,,,
L31,M,A,WT,3.21,330.17,II,-892.303114,1222.473114,,,
L31,M,A,WT,3.97,1649.4,III,-1051.402537,2700.802537,,,outlier
L31,M,A,WT,5.3,311.34,IV,-957.6021399,1268.94214,,,
L38,M,A,WT,2.17,941.76,I,-139.2490898,1081.00909,,,
L38,M,A,WT,3.12,316.55,II,-710.0778146,1026.627815,,,
L38,M,A,WT,3.77,793.73,III,-451.9180718,1245.648072,,,
L38,M,A,WT,4.64,381.64,IV,-522.6799838,904.3199838,,,
L48,M,A,WT,2.22,442.46,I,-195.201582,637.661582,,,
L48,M,A,WT,3.22,154.83,II,-438.2736178,593.1036178,,,
L48,M,A,WT,3.99,790.92,III,-320.2033261,1111.123326,,,
L48,M,A,WT,5.03,187.5,IV,-604.9379484,792.4379484,,,
M32,F,J,WT,2.64,582.53,I,-190.8081288,773.3381288,,,
M32,F,J,WT,3.72,130.61,II,-468.4502699,599.0602699,,,
M32,F,J,WT,4.62,680.57,III,-347.9350896,1028.50509,,,
M32,F,J,WT,5.97,400.37,IV,-410.7870382,811.1570382,,,
M49,F,J,WT,2.3,1058,I,-288.6080809,1346.608081,,,
M49,F,J,WT,3.42,461.69,II,-723.2544418,1184.944442,,,
M49,F,J,WT,4.21,1468,III,-1059.394949,2527.394949,,,
M49,F,J,WT,5.16,208.85,IV,-841.7324792,1050.582479,,,
M51,F,J,WT,2.63,550.92,I,-239.4998217,790.4198217,,,
M51,F,J,WT,4.22,941.61,III,-854.4688443,1796.078844,,,
M51,F,J,WT,5.26,202.87,IV,-284.0698014,486.9398014,,,
P48,M,J,WT,2.6,460.62,I,-249.8653035,710.4853035,,,
P48,M,J,WT,3.46,372.81,II,-502.1603788,874.9703788,,,
P48,M,J,WT,4.38,813.25,III,-627.4345426,1440.684543,,,
P48,M,J,WT,5.43,444.82,IV,-495.6512727,940.4712727,,,
R28,M,J,WT,2.37,366.28,I,-152.0812683,518.3612683,,,
R28,M,J,WT,3.4,19.442,II,-202.2228674,221.6648674,,,
R28,M,J,WT,4.23,510.19,III,-287.3437702,797.5337702,,,
R28,M,J,WT,5.19,193.13,IV,-308.7450527,501.8750527,,,
R76,M,J,WT,2.27,395.85,I,-150.8597904,546.7097904,,,
R76,M,J,WT,3.13,165.91,II,-161.9436087,327.8536087,,,
R76,M,J,WT,3.89,666.85,III,-686.1127883,1352.962788,,,
R76,M,J,WT,4.95,443.82,IV,-398.0121493,841.8321493,,,
